,0,1
0,England,2901.0
1,New Zealand,2860.0
2,Wales,2735.0
3,South Africa,2719.0
4,Ireland,2661.0
5,Australia,2522.0
6,France,2457.0
7,Scotland,2442.0
8,Japan,2411.0
9,Fiji,2288.0
10,Argentina,2261.0
11,Georgia,2154.0
12,Italy,2117.0
13,Tonga,2112.0
14,USA,2090.0
15,Samoa,2066.0
16,Uruguay,2023.0
17,Russia,1875.0
18,Namibia,1863.0
19,Canada,1750.0
