,0,1
0,-922,-44.0
1,-891,-67.33333333333333
2,-860,-31.0
3,-829,-45.25
4,-798,-55.4
5,-767,-35.0
6,-736,-48.90909090909091
7,-705,-30.555555555555557
8,-674,-28.0
9,-643,-28.066666666666666
10,-612,-35.25
11,-581,-31.866666666666667
12,-550,-22.35
13,-519,-35.9
14,-488,-21.772727272727273
15,-457,-24.463414634146343
16,-426,-25.404255319148938
17,-395,-17.821428571428573
18,-364,-15.602739726027398
19,-333,-12.74074074074074
20,-302,-14.029126213592233
21,-271,-13.549618320610687
22,-240,-10.123809523809523
23,-209,-10.655844155844155
24,-178,-5.380116959064328
25,-147,-5.852760736196319
26,-116,-7.2009569377990434
27,-85,-4.4363636363636365
28,-54,-1.2479674796747968
29,-23,0.46096654275092935
30,8,3.280632411067194
31,39,4.368627450980392
32,70,6.733031674208145
33,101,7.428571428571429
34,132,12.377777777777778
35,163,12.218884120171674
36,194,13.980952380952381
37,225,14.12719298245614
38,256,15.984848484848484
39,287,21.423280423280424
40,318,20.36144578313253
41,349,23.2
42,380,28.008064516129032
43,411,26.0
44,442,31.55952380952381
45,473,30.579545454545453
46,504,31.671875
47,535,31.166666666666668
48,566,34.48936170212766
49,597,36.73809523809524
50,628,36.588235294117645
51,659,36.32258064516129
52,690,36.8125
53,721,44.27272727272727
54,752,51.4
55,783,55.35294117647059
56,814,57.69230769230769
57,845,31.0
58,876,61.0
59,907,50.285714285714285
60,938,48.5
61,969,41.0
62,1000,50.333333333333336
63,1031,66.4
64,1062,73.33333333333333
65,1124,83.5
66,1279,15.0
67,1310,95.0
