Difference_in_Ratings,Higher_Rated,Point_Spread,,,,,,,,,
-870,0.007,,,,,,,,,,
-880,0.006,,,,,,,,,,
-890,0.006,,,,,,,,,,
-900,0.006,,,,,,,,,,
-910,0.005,,,,,,,,,,
-920,0.005,,,,,,,,,,
-930,0.005,,,,,,,,,,
-940,0.004,,,,,,,,,,
-950,0.004,,,,,,,,,,
-960,0.004,,,,,,,,,,
-970,0.004,,,,,,,,,,
-980,0.004,,,,,,,,,,
-990,0.003,,,,,,,,,,
-1000,0.003,,,,,,,,,,
