New Zealand,2922
Ireland,2852
Wales,2694
England,2680
South Africa,2554
Scotland,2522
Australia,2477
Fiji,2337
France,2316
USA,2266
Argentina,2241
Japan,2235
Georgia,2187
Tonga,2175
Italy,2052
Samoa,2034
Russia,2019
Uruguay,2017
Romania,1953
Namibia,1933
Canada,1891
