minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,1636.689229,1747.071397,0.456387656,0.543612344, 
100,0,0,0,0,3, , ,,,
94,6,0,3,-3,3,,,,,
89,11,3,3,0,3,,,,,
86,14,3,6,-3,3,,,,,
79,21,6,6,0,3,,,,,
68,32,9,6,3,3,,,,,
45,55,9,9,0,3,,,,,
18,82,9,12,-3,3,,,,,
10,90,12,12,0,3,,,,,
7,93,15,12,3,3,,,,,
