minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,2063.142564,1807.589735,0.813221536,0.186778464, 
80,0,0,0,0,13.5, , ,,,
79,1,3,0,3,,,,,,
76,4,3,3,0,,,,,,
69,11,6,3,3,,,,,,
66,14,6,6,0,,,,,,
56,24,6,9,-3,,,,,,
40,40,6,12,-6,,,,,,
35,45,6,15,-9,,,,,,
29,51,9,15,-6,,,,,,
22,58,9,18,-9,,,,,,
20,60,12,18,-6,,,,,,
16,64,12,21,-9,,,,,,
15,65,12,26,-14,,,,,,
15,65,12,28,-16,,,,,,
0,80,12,33,-21,,,,,,
0,80,12,35,-23,,,,,,
