minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,1962.064772,2587.210811,0.041562228,0.958437772, 
83,0,0,0,0,-16.5, , ,,,
79,4,5,0,5,-16.5,,,,,
78,5,7,0,7,-16.5,,,,,
73,10,12,0,12,-16.5,,,,,
72,11,14,0,14,-16.5,,,,,
66,17,19,0,19,-16.5,,,,,
58,25,19,5,14,-16.5,,,,,
57,26,19,7,12,-16.5,,,,,
50,33,22,7,15,-16.5,,,,,
31,52,22,10,12,-16.5,,,,,
19,64,22,15,7,-16.5,,,,,
18,65,22,17,5,-16.5,,,,,
2,81,22,22,0,-16.5,,,,,
0.5,82.5,22,24,-2,-16.5,,,,,
