minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,1945.298557,2227.238411,0.164794816,0.835205184, 
80,0,0,0,0,14, , ,,,
73,7,0,3,4,14,,,,,
67,13,3,3,10,14,,,,,
64,16,3,6,10,14,,,,,
40,40,3,9,31,14,,,,,
36,44,6,9,35,14,,,,,
29,51,6,12,39,14,,,,,
18,62,6,15,47,14,,,,,
