minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,2061.38727,2261.835802,0.333286601,0.666713399, 
100,0,0,0,0,8.5, , ,,,
94,6,5,0,5,8.5,,,,,
89,11,5,3,2,8.5,,,,,
80,20,5,6,-1,8.5,,,,,
72,28,5,9,-4,8.5,,,,,
62,38,5,14,-9,8.5,,,,,
53,47,8,14,-6,8.5,,,,,
39,61,11,14,-3,8.5,,,,,
20,80,14,14,0,8.5,,,,,
18,82,14,17,-3,8.5,,,,,
3,97,17,17,0,8.5,,,,,
0,100,17,20,-3,8.5,,,,,
