minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,2455.40245,2120.286824,0.916030624,0.083969376, 
80,0,0,0,0,15.5, , ,,,
66,14,5,0,5,,,,,,
35,45,8,0,8,,,,,,
33,47,8,5,3,,,,,,
32,48,8,7,1,,,,,,
