,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
63,1896,England,25,0,Wales,17,0,,Home Nations,Blackheath,4 Jan 1896,Details
64,1896,Wales,6,0,Scotland,-,-,,Home Nations,Cardiff,25 Jan 1896,Details
65,1896,England,4,10,Ireland,0,5,,Home Nations,Leeds,1 Feb 1896,Details
66,1896,Ireland,0,0,Scotland,-,-,,Home Nations,Lansdowne Road,15 Feb 1896,Details
67,1896,Scotland,11,0,England,3,0,,Home Nations / Calcutta Cup,Glasgow,14 Mar 1896,Details
68,1896,Ireland,8,4,Wales,-,-,,Home Nations,Lansdowne Road,14 Mar 1896,Details
69,1896,South Africa,0,8,Britain,0,3,,Great Britain tour,Port Elizabeth,30 Jul 1896,Details
70,1896,South Africa,8,17,Britain,0,5,,Great Britain tour,Johannesburg,22 Aug 1896,Details
71,1896,South Africa,3,9,Britain,3,0,,Great Britain tour,Kimberley,29 Aug 1896,Details
72,1896,South Africa,5,0,Britain,5,0,,Great Britain tour,Cape Town,5 Sep 1896,Details
73,1896,"
Records include the following current or recent matches:
",,,,,,,,,,
74,1896,"

South Africa v Great Britain at Cape Town, 4th Test, Sep 5, 1896 [5-0 FT]
",,,,,,,,,,
75,1896,"

South Africa v Great Britain at Kimberley, 3rd Test, Aug 29, 1896 [3-9 FT]
",,,,,,,,,,
76,1896,"

South Africa v Great Britain at Johannesburg, 2nd Test, Aug 22, 1896 [8-17 FT]
",,,,,,,,,,
77,1897,Wales,11,0,England,6,0,,Home Nations,Newport,9 Jan 1897,Details
78,1897,Ireland,13,9,England,10,3,,Home Nations,Lansdowne Road,6 Feb 1897,Details
79,1897,Scotland,8,3,Ireland,0,3,,Home Nations,Edinburgh,20 Feb 1897,Details
80,1897,England,12,3,Scotland,-,-,,Home Nations / Calcutta Cup,Manchester,13 Mar 1897,Details
81,1897,"
Records include the following current or recent matches:
",,,,,,,,,,
82,1897,"

England v Scotland at Manchester, Home Nations, Mar 13, 1897 [12-3 FT]
",,,,,,,,,,
83,1897,"

Scotland v Ireland at Edinburgh, Home Nations, Feb 20, 1897 [8-3 FT]
",,,,,,,,,,
84,1897,"

Ireland v England at Lansdowne Road, Home Nations, Feb 6, 1897 [13-9 FT]
",,,,,,,,,,
85,1898,England,6,9,Ireland,0,6,,Home Nations,Richmond,5 Feb 1898,Details
86,1898,Ireland,0,8,Scotland,-,-,,Home Nations,Belfast,19 Feb 1898,Details
87,1898,Scotland,3,3,England,-,-,,Home Nations / Calcutta Cup,Edinburgh,12 Mar 1898,Details
88,1898,Ireland,3,11,Wales,3,5,,Home Nations,Limerick,19 Mar 1898,Details
