,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
3111,1990,England,34,6,Wales,16,0,,Five Nations,Twickenham,17 Feb 1990,Details
3112,1990,Scotland,21,0,France,3,0,,Five Nations,Murrayfield,17 Feb 1990,Details
3113,1990,France,31,12,Ireland,12,6,,Five Nations,Parc des Princes,3 Mar 1990,Details
3114,1990,Wales,9,13,Scotland,3,10,,Five Nations,Cardiff,3 Mar 1990,Details
3115,1990,Japan,6,32,Fiji,0,16,,Fiji tour,Tokyo,4 Mar 1990,Details
3116,1990,Netherlands,45,10,Bulgaria,-,-,,FIRA Championship D2,Hilversum,4 Mar 1990,Details
3117,1990,Morocco,20,6,Belgium,-,-,,FIRA Championship D2,Casablanca,10 Mar 1990,Details
3118,1990,Scotland,13,7,England,9,4,,Five Nations / Calcutta Cup,Murrayfield,17 Mar 1990,Details
3119,1990,Czechia,6,29,Netherlands,6,7,,FIRA Championship D2,Brno,18 Mar 1990,Details
3120,1990,Spain,19,8,West Germany,-,-,,FIRA Championship D2,Madrid,18 Mar 1990,Details
3121,1990,Tonga,9,19,Fiji,-,-,,South Pacific Championship,Nuku A'lofa,24 Mar 1990,Details
3122,1990,Namibia,33,18,Zimbabwe,24,6,,Zimbabwe tour,Windhoek,24 Mar 1990,Details
3123,1990,Ireland,14,8,Wales,10,0,,Five Nations,Lansdowne Road,24 Mar 1990,Details
3124,1990,Portugal,16,10,Morocco,-,-,,FIRA Championship D2,Porto,24 Mar 1990,Details
3125,1990,Canada,15,6,Argentina,-,-,,1991 Rugby World Cup Qualifier,Burnaby Lake,30 Mar 1990,Details
3126,1990,Italy,34,3,Poland,18,0,,FIRA Championship D1,Naples,7 Apr 1990,Details
3127,1990,USA,6,13,Argentina,-,-,,1991 Rugby World Cup Qualifier,Santa Barbara,7 Apr 1990,Details
3128,1990,Japan,28,16,Tonga,18,7,,1991 Rugby World Cup Qualifier,Tokyo,8 Apr 1990,Details
3129,1990,Korea,7,74,Samoa,-,-,,1991 Rugby World Cup Qualifier,Tokyo,8 Apr 1990,Details
3130,1990,Andorra,6,12,Tunisia,-,-,,Tunisia tour,Andorra la Vella,8 Apr 1990,Details
3131,1990,Japan,26,10,Korea,6,10,,1991 Rugby World Cup Qualifier,Tokyo,11 Apr 1990,Details
3132,1990,Samoa,12,3,Tonga,-,-,,1991 Rugby World Cup Qualifier,Tokyo,11 Apr 1990,Details
3133,1990,Italy,9,16,Romania,9,6,,FIRA Championship D1,Frascati,14 Apr 1990,Details
3134,1990,Zimbabwe,22,16,Georgia,12,9,,Georgia tour,Bulawayo,14 Apr 1990,Details
3135,1990,Japan,11,37,Samoa,4,25,,1991 Rugby World Cup Qualifier,Tokyo,15 Apr 1990,Details
3136,1990,Korea,22,45,Tonga,-,-,,1991 Rugby World Cup Qualifier,Tokyo,15 Apr 1990,Details
3137,1990,Namibia,86,9,Portugal,26,6,,Portugal tour,Windhoek,21 Apr 1990,Details
3138,1990,Zimbabwe,10,26,Georgia,16,3,,Georgia tour,Harare,21 Apr 1990,Details
3139,1990,Bulgaria,12,40,West Germany,-,-,,FIRA Championship D2,Sofia,22 Apr 1990,Details
3140,1990,Andorra,26,6,Luxembourg,-,-,,FIRA Championship D3,Andorra la Vella,29 Apr 1990,Details
3141,1990,Czechia,22,22,Spain,6,15,,FIRA Championship D2,Vyskov,29 Apr 1990,Details
3142,1990,Belgium,12,24,Portugal,-,-,,FIRA Championship D2,Waterloo,2 May 1990,Details
3143,1990,Morocco,12,16,Tunisia,-,-,,1991 Rugby World Cup Qualifier,Harare,5 May 1990,Details
3144,1990,West Germany,32,7,Czechia,16,3,,FIRA Championship D2,Hanover,5 May 1990,Details
3145,1990,Zimbabwe,22,9,Ivory Coast,-,-,,1991 Rugby World Cup Qualifier,Harare,5 May 1990,Details
3146,1990,Ivory Coast,7,12,Tunisia,-,-,,1991 Rugby World Cup Qualifier,Harare,8 May 1990,Details
3147,1990,Zimbabwe,16,0,Morocco,-,-,,1991 Rugby World Cup Qualifier,Harare,8 May 1990,Details
3148,1990,Ivory Coast,4,11,Morocco,-,-,,1991 Rugby World Cup Qualifier,Harare,12 May 1990,Details
3149,1990,Zimbabwe,24,13,Tunisia,-,-,,1991 Rugby World Cup Qualifier,Harare,12 May 1990,Details
3150,1990,Luxembourg,6,28,Serbia & Mon,-,-,,FIRA Championship D3,Luxembourg,13 May 1990,Details
3151,1990,France,6,12,Romania,0,9,,FIRA Championship D1,Auch,24 May 1990,Details
3152,1990,Denmark,0,3,Sweden,-,-,,Sweden tour,Copenhagen,26 May 1990,Details
3153,1990,Serbia & Mon,3,9,Andorra,-,-,,FIRA Championship D3,Split,26 May 1990,Details
3154,1990,Portugal,12,6,Tunisia,-,-,,FIRA Championship D2,Lisbon,26 May 1990,Details
3155,1990,Poland,12,31,Soviet Union,-,-,,FIRA Championship D1,Warsaw,27 May 1990,Details
3156,1990,Namibia,9,18,Wales,3,9,,Wales tour,Windhoek,2 Jun 1990,Details
3157,1990,Bulgaria,15,10,Czechia,9,4,,FIRA Championship D2,Sofia,3 Jun 1990,Details
3158,1990,Australia,21,9,France,15,6,,France tour / Trophee des Bicentenaires,Sydney,9 Jun 1990,Details
3159,1990,Namibia,30,34,Wales,15,18,,Wales tour,Windhoek,9 Jun 1990,Details
3160,1990,USA,14,12,Canada,4,9,,1991 Rugby World Cup Qualifier,Seattle,9 Jun 1990,Details
3161,1990,New Zealand,31,16,Scotland,15,10,,Scotland tour,Dunedin,16 Jun 1990,Details
3162,1990,Argentina,15,19,Canada,8,13,,1991 Rugby World Cup Qualifier,Buenos Aires,16 Jun 1990,Details
3163,1990,Samoa,12,6,Tonga,-,-,,South Pacific Championship,Apia,17 Jun 1990,Details
3164,1990,Fiji,17,30,Samoa,-,-,,South Pacific Championship,Nausori,23 Jun 1990,Details
3165,1990,New Zealand,21,18,Scotland,12,18,,Scotland tour,Auckland,23 Jun 1990,Details
3166,1990,Australia,48,31,France,24,15,,France tour / Trophee des Bicentenaires,Brisbane,24 Jun 1990,Details
3167,1990,Australia,19,28,France,12,13,,France tour / Trophee des Bicentenaires,Sydney,30 Jun 1990,Details
3168,1990,Australia,67,9,USA,28,9,,United States of America tour,Brisbane,8 Jul 1990,Details
3169,1990,New Zealand,21,6,Australia,10,3,,Australia tour / Bledisloe Cup,Christchurch,21 Jul 1990,Details
3170,1990,Namibia,54,7,West Germany,24,3,,West Germany tour,Windhoek,21 Jul 1990,Details
3171,1990,Argentina,12,25,England,9,13,,England tour,Buenos Aires,28 Jul 1990,Details
3172,1990,New Zealand,27,17,Australia,9,7,,Australia tour / Bledisloe Cup,Auckland,4 Aug 1990,Details
3173,1990,Argentina,15,13,England,9,10,,England tour,Buenos Aires,4 Aug 1990,Details
3174,1990,New Zealand,9,21,Australia,9,6,,Australia tour / Bledisloe Cup,Wellington,18 Aug 1990,Details
3175,1990,Japan,15,25,USA,9,10,,United States of America tour,Tokyo,23 Sep 1990,Details
3176,1990,Finland,0,94,Denmark,-,-,,Nordic Cup,Toijala,29 Sep 1990,Details
3177,1990,Norway,3,60,Sweden,-,-,,Nordic Cup,Toijala,29 Sep 1990,Details
3178,1990,Denmark,17,29,Sweden,-,-,,Nordic Cup,Toijala,30 Sep 1990,Details
3179,1990,Finland,3,34,Norway,-,-,,Nordic Cup,Toijala,30 Sep 1990,Details
3180,1990,Italy,30,6,Spain,9,3,,1991 Rugby World Cup Qualifier / FIRA Championship D1,Rovigo,30 Sep 1990,Details
3181,1990,Netherlands,7,45,Romania,-,-,,1991 Rugby World Cup Qualifier,Treviso,30 Sep 1990,Details
3182,1990,Italy,24,11,Netherlands,0,7,,1991 Rugby World Cup Qualifier,Treviso,3 Oct 1990,Details
3183,1990,Romania,19,6,Spain,-,-,,1991 Rugby World Cup Qualifier / FIRA Championship D1,Padova,3 Oct 1990,Details
3184,1990,Italy,29,21,Romania,16,12,,1991 Rugby World Cup Qualifier,Padova,7 Oct 1990,Details
3185,1990,Netherlands,12,22,Spain,-,-,,1991 Rugby World Cup Qualifier,Rovigo,7 Oct 1990,Details
3186,1990,Serbia & Mon,10,24,Croatia,-,-,,Croatia tour,Belgrade,18 Oct 1990,Details
3187,1990,C Taipai,6,21,Korea,-,-,,Asian Championship,Colombo,20 Oct 1990,Details
3188,1990,Sri Lanka,13,21,Hong Kong,-,-,,Asian Championship,Colombo,20 Oct 1990,Details
3189,1990,Singapore,3,49,Thailand,-,-,,Asian Championship,Colombo,21 Oct 1990,Details
3190,1990,Soviet Union,3,10,Romania,-,-,,FIRA Championship D1,Moscow,21 Oct 1990,Details
3191,1990,Hong Kong,15,16,Korea,-,-,,Asian Championship,Colombo,22 Oct 1990,Details
3192,1990,Sri Lanka,9,6,C Taipai,-,-,,Asian Championship,Colombo,22 Oct 1990,Details
3193,1990,Malaysia,10,9,Singapore,-,-,,Asian Championship,Colombo,23 Oct 1990,Details
3194,1990,C Taipai,12,7,Hong Kong,-,-,,Asian Championship,Colombo,24 Oct 1990,Details
3195,1990,Sri Lanka,13,26,Korea,-,-,,Asian Championship,Colombo,24 Oct 1990,Details
3196,1990,Malaysia,16,16,Thailand,-,-,,Asian Championship,Colombo,25 Oct 1990,Details
3197,1990,Hong Kong,50,15,Thailand,-,-,,Asian Championship,Colombo,26 Oct 1990,Details
3198,1990,Japan,9,13,Korea,6,7,,Asian Championship,Colombo,27 Oct 1990,Details
3199,1990,Belgium,12,15,Poland,-,-,,FIRA Championship D2,Liege,27 Oct 1990,Details
3200,1990,Ireland,20,18,Argentina,7,9,,Argentina tour,Lansdowne Road,27 Oct 1990,Details
3201,1990,Spain,29,6,Portugal,-,-,,FIRA Championship D2,Seville,28 Oct 1990,Details
3202,1990,France,3,24,New Zealand,3,18,,New Zealand tour,Nantes,3 Nov 1990,Details
3203,1990,England,51,0,Argentina,18,0,,Argentina tour,Twickenham,3 Nov 1990,Details
3204,1990,Chile,9,15,Uruguay,-,-,,Uruguay tour,Santiago,3 Nov 1990,Details
3205,1990,Chile,27,33,Uruguay,15,12,,Uruguay tour,Santiago,4 Nov 1990,Details
3206,1990,France,12,30,New Zealand,6,15,,New Zealand tour,Parc des Princes,10 Nov 1990,Details
3207,1990,Scotland,49,3,Argentina,17,0,,Argentina tour,Murrayfield,10 Nov 1990,Details
3208,1990,Italy,34,12,Soviet Union,22,12,,FIRA Championship D1,Rovigo,24 Nov 1990,Details
3209,1990,Germany,7,7,Belgium,-,-,,FIRA Championship D2,Hanover,25 Nov 1990,Details
3210,1990,Hong Kong,6,54,Fiji,6,30,,Fiji tour,Hong Kong,5 Dec 1990,Details
3211,1990,"
Records include the following current or recent matches:
",,,,,,,,,,
3212,1990,"

Spain v Scotland A at Seville, Dec 22, 1990 [7-39 FT]
",,,,,,,,,,
3213,1990,"

Hong Kong v Fiji at Hong Kong, Dec 5, 1990 [6-54 FT]
",,,,,,,,,,
3214,1990,"

Germany v Belgium at Hanover, FIRA Championship D2, Nov 25, 1990 [7-7 FT]
",,,,,,,,,,
3215,1990,"

Spain v Emerging Wallabies at Madrid, Nov 25, 1990 [3-36 FT]
",,,,,,,,,,
3216,1991,Morocco,16,3,Tunisia,-,-,,FIRA Championship D2,Casablanca,1991,Details
3217,1991,Thailand,27,27,Malaysia,-,-,,Malaysia tour,Bangkok,1991,Details
3218,1991,Thailand,20,0,Singapore,-,-,,Singapore tour,Bangkok,1991,Details
3219,1991,Poland,24,9,Netherlands,-,-,,FIRA Championship D2,Sopot,14 Jan 1991,Details
3220,1991,France,15,9,Scotland,9,3,,Five Nations,Parc des Princes,19 Jan 1991,Details
3221,1991,Wales,6,25,England,3,12,,Five Nations,Cardiff,19 Jan 1991,Details
3222,1991,Ireland,13,21,France,10,6,,Five Nations,Lansdowne Road,2 Feb 1991,Details
3223,1991,Scotland,32,12,Wales,13,6,,Five Nations,Murrayfield,2 Feb 1991,Details
3224,1991,England,21,12,Scotland,9,6,,Five Nations / Calcutta Cup,Twickenham,16 Feb 1991,Details
3225,1991,Wales,21,21,Ireland,9,9,,Five Nations,Cardiff,16 Feb 1991,Details
3226,1991,France,36,3,Wales,14,3,,Five Nations,Parc des Princes,2 Mar 1991,Details
3227,1991,Ireland,7,16,England,3,3,,Five Nations / Millennium Trophy,Lansdowne Road,2 Mar 1991,Details
3228,1991,Andorra,9,25,Morocco,-,-,,FIRA Championship D2,Andorra la Vella,9 Mar 1991,Details
3229,1991,England,21,19,France,18,9,,Five Nations,Twickenham,16 Mar 1991,Details
3230,1991,Scotland,28,25,Ireland,15,15,,Five Nations / Centenary Quaich,Murrayfield,16 Mar 1991,Details
3231,1991,Belgium,15,12,Netherlands,-,-,,FIRA Championship D2,Brussels,23 Mar 1991,Details
3232,1991,Portugal,33,15,Andorra,-,-,,FIRA Championship D2,Coimbra,23 Mar 1991,Details
3233,1991,Tunisia,16,10,Portugal,-,-,,FIRA Championship D2,Tunis,20 Apr 1991,Details
3234,1991,Romania,18,21,Italy,6,9,,FIRA Championship D1,Bucharest,21 Apr 1991,Details
3235,1991,Serbia & Mon,22,6,Czechia,10,0,,FIRA Championship D3,Belgrade,21 Apr 1991,Details
3236,1991,Sweden,23,21,Denmark,-,-,,Denmark tour,Malmo,21 Apr 1991,Details
3237,1991,USA,20,9,Japan,0,9,,Japan tour,Blaine,27 Apr 1991,Details
3238,1991,Netherlands,17,4,Germany,-,-,,FIRA Championship D2,Hilversum,28 Apr 1991,Details
3239,1991,Andorra,16,14,Tunisia,-,-,,FIRA Championship D2,Andorra la Vella,4 May 1991,Details
3240,1991,Morocco,13,12,Portugal,-,-,,FIRA Championship D2,Casablanca,4 May 1991,Details
3241,1991,USA,27,15,Japan,15,9,,Japan tour,Chicago,4 May 1991,Details
3242,1991,Soviet Union,30,3,Spain,-,-,,FIRA Championship D1,Moscow,11 May 1991,Details
3243,1991,Canada,49,26,Japan,30,10,,Japan tour,Vancouver,11 May 1991,Details
3244,1991,Czechia,25,3,Bulgaria,9,0,,FIRA Championship D3,Prague,18 May 1991,Details
3245,1991,Germany,6,0,Poland,-,-,,FIRA Championship D2,Heidelburg,19 May 1991,Details
3246,1991,Portugal,12,34,Namibia,12,20,,Namibia tour,Lisbon,24 May 1991,Details
3247,1991,Tonga,13,41,Samoa,-,-,,South Pacific Championship,Nuku A'lofa,28 May 1991,Details
3248,1991,Samoa,40,23,Fiji,16,6,,South Pacific Championship,Apia,1 Jun 1991,Details
3249,1991,Fiji,34,4,Tonga,10,4,,South Pacific Championship,Suva,8 Jun 1991,Details
3250,1991,Canada,34,15,USA,18,3,,United States of America tour,Calgary,8 Jun 1991,Details
3251,1991,Fiji,19,7,Tonga,10,3,,Tonga tour,Suva,11 Jun 1991,Details
3252,1991,Namibia,17,7,Italy,10,0,,Italy tour,Windhoek,15 Jun 1991,Details
3253,1991,Romania,21,33,France,18,18,,FIRA Championship D1,Bucharest,22 Jun 1991,Details
3254,1991,Namibia,33,19,Italy,18,7,,Italy tour,Windhoek,22 Jun 1991,Details
3255,1991,Namibia,34,15,Zimbabwe,9,15,,Zimbabwe tour,Windhoek,29 Jun 1991,Details
3256,1991,Namibia,53,9,Zimbabwe,16,9,,Zimbabwe tour,Windhoek,6 Jul 1991,Details
3257,1991,Argentina,14,28,New Zealand,6,12,,New Zealand tour,Buenos Aires,6 Jul 1991,Details
3258,1991,Argentina,6,36,New Zealand,3,15,,New Zealand tour,Buenos Aires,13 Jul 1991,Details
3259,1991,USA,9,41,France,3,21,,France tour,Denver,13 Jul 1991,Details
3260,1991,Fiji,12,28,England,9,12,,England tour,Suva,20 Jul 1991,Details
3261,1991,Namibia,15,6,Ireland,9,0,,Ireland tour,Windhoek,20 Jul 1991,Details
3262,1991,USA,3,10,France,3,10,,France tour,Colorado Springs,20 Jul 1991,Details
3263,1991,Australia,63,6,Wales,23,6,,Wales tour,Brisbane,22 Jul 1991,Details
3264,1991,Australia,40,15,England,16,9,,England tour,Sydney,27 Jul 1991,Details
3265,1991,Namibia,26,15,Ireland,10,12,,Ireland tour,Windhoek,27 Jul 1991,Details
3266,1991,Zimbabwe,19,22,Namibia,13,13,,Namibia tour,Harare,3 Aug 1991,Details
3267,1991,Australia,21,12,New Zealand,9,9,,New Zealand tour / Bledisloe Cup,Sydney,10 Aug 1991,Details
3268,1991,Zimbabwe,16,23,Namibia,6,14,,Namibia tour,Harare,10 Aug 1991,Details
3269,1991,Chile,6,41,Argentina,-,-,,South American Championship,Santiago,15 Aug 1991,Details
3270,1991,Uruguay,29,13,Paraguay,10,7,,South American Championship,Montevideo,17 Aug 1991,Details
3271,1991,Chile,25,18,Paraguay,-,-,,South American Championship,Santiago,19 Aug 1991,Details
3272,1991,Chile,23,16,Brazil,-,-,,South American Championship,Santiago,21 Aug 1991,Details
3273,1991,New Zealand,6,3,Australia,3,0,,Australia tour / Bledisloe Cup,Auckland,24 Aug 1991,Details
3274,1991,Romania,18,12,Scotland,9,6,,Scotland tour,Bucharest,31 Aug 1991,Details
3275,1991,Wales,9,22,France,3,7,,France tour,Cardiff,4 Sep 1991,Details
3276,1991,Japan,42,3,Hong Kong,9,0,,Hong Kong tour,Tokyo,7 Sep 1991,Details
3277,1991,Namibia,46,20,Zimbabwe,24,10,,Zimbabwe tour,Windhoek,7 Sep 1991,Details
3278,1991,Brazil,0,34,Paraguay,-,-,,South American Championship,Sao Paulo,7 Sep 1991,Details
3279,1991,Chile,18,34,Uruguay,0,15,,South American Championship,Santiago,8 Sep 1991,Details
3280,1991,Argentina,32,9,Uruguay,10,3,,South American Championship,Buenos Aires,21 Sep 1991,Details
3281,1991,Denmark,25,4,Norway,-,-,,FIRA Championship D3 / Nordic Cup,Karlskrona,28 Sep 1991,Details
3282,1991,Sweden,72,4,Finland,-,-,,FIRA Championship D3 / Nordic Cup,Karlstad,28 Sep 1991,Details
3283,1991,Uruguay,37,7,Brazil,-,-,,South American Championship,Montevideo,28 Sep 1991,Details
3284,1991,Paraguay,10,37,Argentina,-,-,,South American Championship,Asuncion,28 Sep 1991,Details
3285,1991,Finland,18,3,Norway,-,-,,FIRA Championship D3 / Nordic Cup,Karlskrona,29 Sep 1991,Details
3286,1991,Sweden,30,9,Denmark,-,-,,FIRA Championship D3 / Nordic Cup,Karlstad,29 Sep 1991,Details
3287,1991,Argentina,84,6,Brazil,-,-,,South American Championship,Buenos Aires,1 Oct 1991,Details
3288,1991,England,12,18,New Zealand,12,9,,Rugby World Cup,Twickenham,3 Oct 1991,Details
3289,1991,Argentina,19,32,Australia,7,16,,Rugby World Cup,Llanelli,4 Oct 1991,Details
3290,1991,France,30,3,Romania,6,0,,Rugby World Cup,Beziers,4 Oct 1991,Details
3291,1991,Italy,30,9,USA,9,3,,Rugby World Cup,Otley,5 Oct 1991,Details
3292,1991,Scotland,47,9,Japan,17,9,,Rugby World Cup,Murrayfield,5 Oct 1991,Details
3293,1991,Canada,13,3,Fiji,7,3,,Rugby World Cup,Bayonne,5 Oct 1991,Details
3294,1991,Wales,13,16,Samoa,3,3,,Rugby World Cup,Cardiff,6 Oct 1991,Details
3295,1991,Ireland,55,11,Zimbabwe,33,0,,Rugby World Cup,Lansdowne Road,6 Oct 1991,Details
3296,1991,New Zealand,46,6,USA,20,3,,Rugby World Cup,Gloucester,8 Oct 1991,Details
3297,1991,England,36,6,Italy,24,0,,Rugby World Cup,Twickenham,8 Oct 1991,Details
3298,1991,France,33,9,Fiji,19,3,,Rugby World Cup,Grenoble,8 Oct 1991,Details
3299,1991,Australia,9,3,Samoa,6,0,,Rugby World Cup,Pontypool,9 Oct 1991,Details
3300,1991,Ireland,32,16,Japan,19,6,,Rugby World Cup,Lansdowne Road,9 Oct 1991,Details
3301,1991,Scotland,51,12,Zimbabwe,21,12,,Rugby World Cup,Murrayfield,9 Oct 1991,Details
3302,1991,Canada,19,11,Romania,3,3,,Rugby World Cup,Toulouse,9 Oct 1991,Details
3303,1991,Wales,16,7,Argentina,9,0,,Rugby World Cup,Cardiff,9 Oct 1991,Details
3304,1991,England,37,9,USA,21,3,,Rugby World Cup,Twickenham,11 Oct 1991,Details
3305,1991,Scotland,24,15,Ireland,9,12,,Rugby World Cup,Murrayfield,12 Oct 1991,Details
3306,1991,Poland,16,16,Belgium,-,-,,FIRA Championship D2,Lublin,12 Oct 1991,Details
3307,1991,Wales,3,38,Australia,3,10,,Rugby World Cup,Cardiff,12 Oct 1991,Details
3308,1991,Fiji,15,17,Romania,6,9,,Rugby World Cup,Brive la Gaillarde,12 Oct 1991,Details
3309,1991,Argentina,12,35,Samoa,12,15,,Rugby World Cup,Pontypridd,13 Oct 1991,Details
3310,1991,Italy,21,31,New Zealand,3,16,,Rugby World Cup,Leicester,13 Oct 1991,Details
3311,1991,France,19,13,Canada,9,7,,Rugby World Cup,Agen,13 Oct 1991,Details
3312,1991,Japan,52,8,Zimbabwe,16,4,,Rugby World Cup,Belfast,14 Oct 1991,Details
3313,1991,Scotland,28,6,Samoa,13,3,,Rugby World Cup,Murrayfield,19 Oct 1991,Details
3314,1991,France,10,19,England,6,10,,Rugby World Cup,Parc des Princes,19 Oct 1991,Details
3315,1991,Ireland,18,19,Australia,6,6,,Rugby World Cup,Lansdowne Road,20 Oct 1991,Details
3316,1991,Canada,13,29,New Zealand,3,21,,Rugby World Cup,Lille,20 Oct 1991,Details
3317,1991,Scotland,6,9,England,6,3,,Rugby World Cup,Murrayfield,26 Oct 1991,Details
3318,1991,Australia,16,6,New Zealand,13,0,,Rugby World Cup,Lansdowne Road,27 Oct 1991,Details
3319,1991,New Zealand,13,6,Scotland,6,3,,Rugby World Cup,Cardiff,30 Oct 1991,Details
3320,1991,England,6,12,Australia,0,9,,Rugby World Cup,Twickenham,2 Nov 1991,Details
3321,1991,Soviet Union,3,21,Italy,3,9,,FIRA Championship D1,Moscow,3 Nov 1991,Details
3322,1991,Poland,6,10,Germany,-,-,,FIRA Championship D2,Gdansk,3 Nov 1991,Details
3323,1991,Tunisia,35,19,Andorra,-,-,,FIRA Championship D2,Tunis,9 Nov 1991,Details
3324,1991,Spain,16,19,Soviet Union,-,-,,FIRA Championship D1,Sevilla,17 Nov 1991,Details
3325,1991,Georgia,19,15,Ukraine,10,9,,Ukraine tour,Tbilisi,21 Nov 1991,Details
3326,1991,Netherlands,9,9,Belgium,-,-,,FIRA Championship D2,Hertogenbosch,23 Nov 1991,Details
3327,1991,Georgia,6,0,Ukraine,3,0,,Ukraine tour,Rustavi,24 Nov 1991,Details
3328,1991,"
Records include the following current or recent matches:
",,,,,,,,,,
3329,1991,"

Georgia v Ukraine at Rustavi, Nov 24, 1991 [6-0 FT]
",,,,,,,,,,
3330,1991,"

Netherlands v Belgium at Hertogenbosch, FIRA Championship D2, Nov 23, 1991 [9-9 FT]
",,,,,,,,,,
3331,1991,"

Georgia v Ukraine at Tbilisi, Nov 21, 1991 [19-15 FT]
",,,,,,,,,,
3332,1992,Luxembourg,9,19,Denmark,-,-,,Denmark tour,Luxembourg,1992,Details
3333,1992,Scotland,7,25,England,7,10,,Five Nations / Calcutta Cup,Murrayfield,18 Jan 1992,Details
3334,1992,Ireland,15,16,Wales,9,6,,Five Nations,Lansdowne Road,18 Jan 1992,Details
3335,1992,England,38,9,Ireland,24,9,,Five Nations / Millennium Trophy,Twickenham,1 Feb 1992,Details
3336,1992,Wales,9,12,France,0,12,,Five Nations,Cardiff,1 Feb 1992,Details
3337,1992,Spain,21,22,Italy,0,18,,FIRA Championship D1,Madrid,9 Feb 1992,Details
3338,1992,France,13,31,England,4,15,,Five Nations,Parc des Princes,15 Feb 1992,Details
3339,1992,Ireland,10,18,Scotland,3,9,,Five Nations / Centenary Quaich,Lansdowne Road,15 Feb 1992,Details
3340,1992,Germany,37,0,Switzerland,27,0,,Switzerland tour,Heidelburg,22 Feb 1992,Details
3341,1992,England,24,0,Wales,15,0,,Five Nations,Twickenham,7 Mar 1992,Details
3342,1992,Scotland,10,6,France,4,3,,Five Nations,Murrayfield,7 Mar 1992,Details
3343,1992,France,44,12,Ireland,18,6,,Five Nations,Parc des Princes,21 Mar 1992,Details
3344,1992,Wales,15,12,Scotland,9,6,,Five Nations,Cardiff,21 Mar 1992,Details
3345,1992,Andorra,6,29,Portugal,-,-,,FIRA Championship D2,Andorra la Vella,28 Mar 1992,Details
3346,1992,Germany,7,3,Netherlands,-,-,,FIRA Championship D2,Hanover,28 Mar 1992,Details
3347,1992,Spain,6,0,Romania,-,-,,FIRA Championship D1,Madrid,4 Apr 1992,Details
3348,1992,Belgium,17,10,Germany,-,-,,FIRA Championship D2,Brussels,11 Apr 1992,Details
3349,1992,Portugal,15,0,Morocco,-,-,,FIRA Championship D2,Lisbon,11 Apr 1992,Details
3350,1992,Italy,39,13,Romania,21,7,,FIRA Championship D1,Rovigo,18 Apr 1992,Details
3351,1992,USA,23,16,Hong Kong,17,7,,Hong Kong tour,San Francisco,18 Apr 1992,Details
3352,1992,Morocco,38,10,Andorra,-,-,,FIRA Championship D2,Casablanca,25 Apr 1992,Details
3353,1992,Portugal,18,16,Tunisia,-,-,,FIRA Championship D2,Lisbon,26 Apr 1992,Details
3354,1992,Bulgaria,3,16,Czechia,3,6,,FIRA Championship D3,Sofia,3 May 1992,Details
3355,1992,Namibia,55,23,Zimbabwe,14,0,,Zimbabwe tour,Windhoek,9 May 1992,Details
3356,1992,Romania,34,6,Soviet Union,-,-,,FIRA Championship D1,Bucharest,10 May 1992,Details
3357,1992,Netherlands,12,17,Poland,-,-,,FIRA Championship D2,Amsterdam,14 May 1992,Details
3358,1992,Namibia,69,26,Zimbabwe,35,14,,Zimbabwe tour,Windhoek,16 May 1992,Details
3359,1992,France,25,6,Romania,9,0,,FIRA Championship D1,Le Havre,28 May 1992,Details
3360,1992,New Zealand,24,21,Ireland,18,18,,Ireland tour,Dunedin,30 May 1992,Details
3361,1992,New Zealand,59,6,Ireland,15,6,,Ireland tour,Wellington,6 Jun 1992,Details
3362,1992,Australia,27,12,Scotland,7,9,,Scotland tour,Sydney,13 Jun 1992,Details
3363,1992,USA,9,32,Canada,6,22,,Canada tour,Denver,13 Jun 1992,Details
3364,1992,Samoa,22,17,Tonga,-,-,,South Pacific Championship,Apia,13 Jun 1992,Details
3365,1992,Fiji,16,20,Samoa,12,11,,South Pacific Championship,Suva,20 Jun 1992,Details
3366,1992,Australia,37,13,Scotland,16,3,,Scotland tour,Brisbane,21 Jun 1992,Details
3367,1992,Tunisia,5,6,Morocco,-,-,,FIRA Championship D2,Tunis,1 Jul 1992,Details
3368,1992,Australia,16,15,New Zealand,8,12,,New Zealand tour / Bledisloe Cup,Sydney,4 Jul 1992,Details
3369,1992,Argentina,12,27,France,6,14,,France tour,Buenos Aires,4 Jul 1992,Details
3370,1992,Argentina,9,33,France,6,9,,France tour,Buenos Aires,11 Jul 1992,Details
3371,1992,Ukraine,13,18,Georgia,0,12,,Georgia tour,Kiev,13 Jul 1992,Details
3372,1992,Ukraine,0,15,Georgia,0,9,,Georgia tour,Kiev,15 Jul 1992,Details
3373,1992,Australia,19,17,New Zealand,11,7,,New Zealand tour / Bledisloe Cup,Brisbane,19 Jul 1992,Details
3374,1992,Georgia,28,3,Latvia,15,0,,FIRA Championship D3,Kiev,19 Jul 1992,Details
3375,1992,Tonga,13,9,Fiji,7,3,,South Pacific Championship,Nuku A'lofa,25 Jul 1992,Details
3376,1992,Australia,23,26,New Zealand,13,13,,New Zealand tour / Bledisloe Cup,Sydney,25 Jul 1992,Details
3377,1992,South Africa,24,27,New Zealand,0,10,,New Zealand tour,Johannesburg,15 Aug 1992,Details
3378,1992,South Africa,3,26,Australia,3,8,,Australia tour,Cape Town,22 Aug 1992,Details
3379,1992,Uruguay,50,24,Chile,-,-,,Chile tour,Montevideo,19 Sep 1992,Details
