"","POS_SALE_BRANCH","sumB","sumSLOPE","sumSIDING","sumWINDOW","sumOTHER","meanD","meanPD","risk","meanCL","percent_PD","percent_D","clusterNum","clusterNum"
"138",241,66057822.22,1895161.68,12011012.07,2371793.25,100224025.25,395.075988739629,963.63201600158,0,13330.9066757211,0.00145877048866716,0.000598076011988196,6,4
"139",242,154264728.23,3628652.27,48304200.96,3281206.61,199651802.63,1420.24442953917,2823.43819368928,0,35603.8897900882,0.0018302551893001,0.000920654024957455,4,2
"140",244,58168851.63,4703460.03,13040718.19,1422946.37,78336550.37,1389.08191482042,2348.92968212467,0,24539.5959405532,0.00403812283774438,0.00238801674073967,6,4
"141",245,31132912.35,6293068.4,5189117.11,1382308.46,36209081.2,268.812592825317,719.30259968011,0,13292.500569519,0.00231042503057093,0.000863435421020986,3,4
"142",249,3155098.13,226587.09,183044.68,149096.95,3259917.1,543.48408393866,1258.82978208232,1.67554479418886,7521.03248587571,0.0398982767005832,0.0172255841671289,1,1
"143",250,510150.51,109103.6,58948.6,5012.74,671921.32,0,3892.69588235294,2.70588235294118,17961.3764705882,0.763048513340297,0,1,5
"144",252,39864706.2,4950196.97,2577442.72,1091517.4,61964968.19,260.246589143523,515.247163526898,0,13209.6762249951,0.00129248955439912,0.000652824550713792,3,4
"145",255,21903697.87,1300832.6,4429347.31,1448310.58,29296300.81,330.256439571647,801.549600203978,0,15212.0349617542,0.00365942593328867,0.00150776568199462,3,4
"146",256,26901004.54,5299842.52,2944368.68,570250.81,35998877.48,419.827622808916,1014.41921878381,0,22695.8156946548,0.0037709343428995,0.00156063920283966,3,4
"147",259,21691140.04,3259927.39,4242211.95,1161911.44,25895885.36,541.254847179076,917.817447640044,0,13673.2610983064,0.00423130110242027,0.0024952807744589,3,4
"148",261,26972941.88,6058649.17,3543321.14,794298.57,32876302.6,2173.78684890087,2860.82555936913,0,12202.0723118411,0.0106062793302142,0.00805913889026952,5,4
"149",264,64943311.86,4811319.99,18725423.44,1867459.45,79022818.42,454.692452735205,966.649950218145,0,26276.2461354738,0.00148845188601095,0.000700137457903899,6,4
"150",265,58209066.48,1588957.6,20933429.13,4122113.2,63060961.51,394.715847261783,894.537204815392,0,16840.0372198635,0.00153676610691351,0.000678100287688694,6,2
"151",266,46716024.28,7710638.52,8807433.3,4455091.37,51068017.58,310.917189659015,665.533544127479,0,20214.1305109204,0.00142463652330193,0.000665547195958891,3,4
"152",268,48063703.6,1813525.09,19719791.29,1330064.94,50550526.05,1332.20838625489,2261.8951892127,0,17540.1358083225,0.00470603598931294,0.00277175557951571,6,4
"153",270,22468857.35,1979304.17,8664476,2089983.25,19082757.99,146.746321374832,278.710630395185,0,15300.7916805259,0.00124043081521093,0.000653109853736428,3,4
"154",273,37895670.36,3163679.6,5677127.32,1874539.85,54585272.5,745.759739565755,1053.50232928338,0,13521.586720666,0.00278000710707941,0.00196792861158336,3,4
"155",274,37620360.53,8196591.28,1814654.96,3675732.53,47812673.75,376.791560304887,977.170092661784,0,20937.9185218951,0.00259745010120929,0.00100156286382322,3,4
"156",275,28131761.17,3680918.56,7931825.43,2056292.5,28759152.16,695.380087926703,1112.85921309295,0,15765.0365693808,0.00395588177493742,0.00247186830474113,3,4
"157",276,33032903.25,3480620.23,13037824.48,2426236.69,26754886.56,329.758084467329,706.815451759225,0,13554.5605296065,0.00213973154708775,0.00099827157780123,3,4
"158",281,42705845.88,8264983.83,11952791.01,2600491.97,38924593.48,505.427505507956,1037.15259791922,0,21591.7867790698,0.00242859631169356,0.00118350894378293,3,4
"159",282,29810684.33,2474480.28,5282242.04,2415599.54,39167008.27,818.024528237696,1256.77880811976,0,9450.91864595146,0.00421586701669574,0.00274406491035993,3,4
"160",283,22651237.61,2385582.49,3419245.83,1360140.89,30945412.74,1025.92487340164,1453.83663900415,0,14043.70712084,0.00641835410512984,0.004529222160244,3,4
"161",284,31436320.89,4394929.01,4303804.37,2606842.67,39672239.75,427.504416828759,776.623150349398,0,13225.853602046,0.00247046450844839,0.0013599060091181,3,4
"162",287,74740811.76,9458673.2,11862678.77,6678403.12,92977490.34,587.675761904762,1548.54364638448,0,29739.8839012346,0.00207188497143569,0.00078628496007221,6,2
"163",288,90257362.39,11896428.77,25872561.19,1696154.07,101731065.41,496.771679176496,1539.32232325399,0,28244.079128601,0.00170548117349431,0.00055039463376955,6,2
"164",289,40622877.82,18500353.55,3868805.57,2737987.83,30759407.93,493.027125881916,973.006886990964,0,21815.5447827701,0.00239521899778336,0.00121366863289824,3,4
"165",290,0,0,0,0,0,0,0,1.64,1489.48,NA,NA,1,1
"166",291,20561883.51,4215255.01,3381690.92,1337217.96,23032066.86,379.822707353854,588.913757651025,0,12932.4370717644,0.00286410414378923,0.00184721748457106,3,4
"167",292,13628450.1,1771042.79,3188814.18,541536.85,16063717.31,288.75073826653,523.079319972593,0,17218.5654333676,0.0038381423869512,0.0021187349709453,3,4
"168",294,35232921.84,1755180.56,14877502.19,515755.01,36496679.28,1368.98752960731,2290.36938707667,0,17973.5968481197,0.00650065128710502,0.00388553505674088,3,4
