,Home_Prob,Away_Prob,Margin
0,0.10200000000000001,0.8979999999999999,-40
1,0.2317142857142857,0.7682857142857142,-39
2,0.139625,0.860375,-38
3,0.14266666666666666,0.8573333333333334,-37
4,0.15762500000000002,0.842375,-36
5,0.2503,0.7497,-35
6,0.1915,0.8085,-34
7,0.14783333333333332,0.8521666666666666,-33
8,0.11866666666666667,0.8813333333333333,-32
9,0.1723846153846154,0.8276153846153846,-31
10,0.2716,0.7284,-30
11,0.2290625,0.7709375,-29
12,0.2138,0.7862,-28
13,0.30746666666666667,0.6925333333333333,-27
14,0.1386923076923077,0.8613076923076923,-26
15,0.2924,0.7076,-25
16,0.26914285714285713,0.7308571428571429,-24
17,0.18316666666666667,0.8168333333333333,-23
18,0.184,0.816,-22
19,0.23944444444444446,0.7605555555555555,-21
20,0.2739333333333333,0.7260666666666666,-20
21,0.30303846153846153,0.6969615384615385,-19
22,0.27965384615384614,0.7203461538461539,-18
23,0.2480344827586207,0.7519655172413793,-17
24,0.39408695652173914,0.6059130434782609,-16
25,0.4331,0.5669,-15
26,0.3515945945945946,0.6484054054054054,-14
27,0.3945757575757576,0.6054242424242424,-13
28,0.3858536585365854,0.6141463414634146,-12
29,0.43025641025641026,0.5697435897435897,-11
30,0.3635,0.6365,-10
31,0.4280821917808219,0.571917808219178,-9
32,0.4249402985074627,0.5750597014925373,-8
33,0.42878571428571427,0.5712142857142857,-7
34,0.5055949367088608,0.49440506329113926,-6
35,0.48444827586206896,0.515551724137931,-5
36,0.44926582278481014,0.5507341772151899,-4
37,0.5342870370370371,0.46571296296296294,-3
38,0.5021408450704226,0.49785915492957744,-2
39,0.4651764705882353,0.5348235294117647,-1
40,0.5391524390243903,0.46084756097560975,0
41,0.5466741573033708,0.45332584269662923,1
42,0.569,0.431,2
43,0.6106737588652482,0.3893262411347518,3
44,0.6115324675324675,0.38846753246753246,4
45,0.5969052631578947,0.4030947368421053,5
46,0.6228320610687023,0.3771679389312977,6
47,0.6563529411764706,0.3436470588235294,7
48,0.6285128205128205,0.37148717948717946,8
49,0.5786623376623377,0.42133766233766234,9
50,0.6816551724137931,0.3183448275862069,10
51,0.6845238095238095,0.31547619047619047,11
52,0.7005128205128205,0.2994871794871795,12
53,0.7079710144927537,0.2920289855072464,13
54,0.6740192307692308,0.32598076923076924,14
55,0.73572,0.26428,15
56,0.7523191489361702,0.24768085106382978,16
57,0.7534722222222222,0.24652777777777776,17
58,0.7680697674418605,0.23193023255813952,18
59,0.7994473684210526,0.20055263157894737,19
60,0.80704,0.19296,20
61,0.823595238095238,0.1764047619047619,21
62,0.766095238095238,0.2339047619047619,22
63,0.7489677419354839,0.2510322580645161,23
64,0.7848620689655172,0.21513793103448275,24
65,0.77690625,0.22309375,25
66,0.8608888888888889,0.1391111111111111,26
67,0.82532,0.17468,27
68,0.8264583333333333,0.17354166666666668,28
69,0.7743636363636364,0.22563636363636363,29
70,0.8660833333333333,0.13391666666666666,30
71,0.8943636363636364,0.10563636363636364,31
72,0.8566666666666667,0.14333333333333334,32
73,0.8854,0.11460000000000001,33
74,0.87,0.13,34
75,0.9095,0.0905,35
76,0.9154545454545454,0.08454545454545455,36
77,0.8858888888888888,0.11411111111111112,37
78,0.9204285714285714,0.07957142857142857,38
79,0.8265555555555555,0.17344444444444446,39
