,score,Prob
354,1540,1.0
355,1550,1.0
356,1560,1.0
357,1570,1.0
358,1580,1.0
359,1590,1.0
360,1600,1.0
361,1610,1.0
362,1620,1.0
363,1630,1.0
364,1640,1.0
365,1650,1.0
366,1660,1.0
367,1670,1.0
368,1680,1.0
369,1690,1.0
370,1700,1.0
371,1710,1.0
372,1720,1.0
373,1730,1.0
374,1740,1.0
375,1750,1.0
376,1760,1.0
377,1770,1.0
378,1780,1.0
379,1790,1.0
380,1800,1.0
381,1810,1.0
382,1820,1.0
383,1830,1.0
384,1840,1.0
385,1850,1.0
386,1860,1.0
387,1870,1.0
388,1880,1.0
389,1890,1.0
390,1900,1.0
391,1910,1.0
392,1920,1.0
393,1930,1.0
394,1940,1.0
395,1950,1.0
396,1960,1.0
397,1970,1.0
398,1980,1.0
399,1990,1.0
